sample_id,latent_id,latent_split,camera_name,light_name,acquisition_role,low_clip_fraction,high_clip_fraction,all_zero_fraction,all_one_fraction,nonfinite_count
L056_A1,L056,joint_ood,Canon 1DMarkIII,D65,camera_only,0.0,0.0,0.0,0.0,0
L056_A2,L056,joint_ood,Canon 5DMarkII,FL11,light_only,0.0,0.0,0.0,0.0,0
L056_A3,L056,joint_ood,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0.0,0.0,0
L056_A4,L056,joint_ood,Canon 1DMarkIII,FL11,joint,0.0,0.004069010416666667,0.0,0.0,0
L057_A0,L057,joint_ood,Nikon D80,A,reference,0.0,0.0,0.0,0.0,0
L057_A1,L057,joint_ood,Nikon D5100,A,camera_only,0.0,0.0,0.0,0.0,0
L057_A2,L057,joint_ood,Nikon D80,FL11,light_only,0.0,0.0,0.0,0.0,0
L057_A3,L057,joint_ood,Nikon D80,A,appearance_only,0.0,0.0,0.0,0.0,0
L057_A4,L057,joint_ood,Nikon D5100,FL11,joint,0.0,0.0,0.0,0.0,0
L058_A0,L058,joint_ood,Olympus E-PL2,FL2,reference,0.0,0.0,0.0,0.0,0
L058_A1,L058,joint_ood,Canon 1DMarkIII,FL2,camera_only,0.0,0.0,0.0,0.0,0
L058_A2,L058,joint_ood,Olympus E-PL2,FL11,light_only,0.0,0.0,0.0,0.0,0
L058_A3,L058,joint_ood,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L058_A4,L058,joint_ood,Canon 1DMarkIII,FL11,joint,0.0,0.0,0.0,0.0,0
L059_A0,L059,joint_ood,Canon 300D,D65,reference,0.0,0.0,0.0,0.0,0
L059_A1,L059,joint_ood,Nikon D5100,D65,camera_only,0.0,0.0,0.0,0.0,0
L059_A2,L059,joint_ood,Canon 300D,FL11,light_only,0.0,0.0,0.0,0.0,0
L059_A3,L059,joint_ood,Canon 300D,D65,appearance_only,0.0,0.0,0.0,0.0,0
L059_A4,L059,joint_ood,Nikon D5100,FL11,joint,0.0,0.0,0.0,0.0,0
L060_A0,L060,joint_ood,Canon 5DMarkII,FL2,reference,0.0,0.0,0.0,0.0,0
L060_A1,L060,joint_ood,Canon 1DMarkIII,FL2,camera_only,0.0,0.0,0.0,0.0,0
L060_A2,L060,joint_ood,Canon 5DMarkII,FL11,light_only,0.0,0.0,0.0,0.0,0
L060_A3,L060,joint_ood,Canon 5DMarkII,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L060_A4,L060,joint_ood,Canon 1DMarkIII,FL11,joint,0.0,0.0,0.0,0.0,0
L061_A0,L061,joint_ood,Nikon D80,D65,reference,0.0,0.0,0.0,0.0,0
L061_A1,L061,joint_ood,Nikon D5100,D65,camera_only,0.0,0.0,0.0,0.0,0
L061_A2,L061,joint_ood,Nikon D80,FL11,light_only,0.0,0.0,0.0,0.0,0
L061_A3,L061,joint_ood,Nikon D80,D65,appearance_only,0.0,0.0,0.0,0.0,0
L061_A4,L061,joint_ood,Nikon D5100,FL11,joint,0.0,0.0,0.0,0.0,0
L062_A0,L062,joint_ood,Olympus E-PL2,A,reference,0.0,0.0,0.0,0.0,0
L062_A1,L062,joint_ood,Canon 1DMarkIII,A,camera_only,0.0,0.0,0.0,0.0,0
L062_A2,L062,joint_ood,Olympus E-PL2,FL11,light_only,0.0,0.0,0.0,0.0,0
L062_A3,L062,joint_ood,Olympus E-PL2,A,appearance_only,0.0,0.0,0.0,0.0,0
L062_A4,L062,joint_ood,Canon 1DMarkIII,FL11,joint,0.0,0.0,0.0,0.0,0
L063_A0,L063,joint_ood,Canon 300D,FL2,reference,0.0,0.0,0.0,0.0,0
L063_A1,L063,joint_ood,Nikon D5100,FL2,camera_only,0.0,0.0,0.0,0.0,0
L063_A2,L063,joint_ood,Canon 300D,FL11,light_only,0.0,0.0,0.0,0.0,0
L063_A3,L063,joint_ood,Canon 300D,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L063_A4,L063,joint_ood,Nikon D5100,FL11,joint,0.0,0.0,0.0,0.0,0
